Treatments,mOD_min_mg_protein,Block
CT,7690.293,1
CT,17477.378,2
CT,7086.446,3
CT,10526.169,4
CT,9161.478,5
CT,4817.569,6
MU,10795.485,1
MU,12956.142,2
MU,6573.102,3
MU,8656.44,4
MU,11654.742,5
MU,10668.758,6
PT,12994.48,1
PT,7441.014,2
PT,8126.308,3
PT,7101.706,4
PT,6681.049,5
PT,11539.436,6
WT,7129.447,1
WT,4649.143,2
WT,4426.942,3
WT,12826.978,4
WT,9042.865,5
WT,11353.505,6
