Treatments,mOD_min_mg_protein,Block
CT,31.073,1
CT,394.08,2
CT,87.501,3
CT,60.001,4
CT,103.051,5
CT,126.759,6
MU,4249.21,1
MU,3293.888,2
MU,1432.473,3
MU,1975.112,4
MU,2909.785,5
MU,2250.517,6
PT,3698.087,1
PT,1384.821,2
PT,1042.825,3
PT,612.331,4
PT,1245.73,5
PT,1219.705,6
WT,1113.896,1
WT,1155.81,2
WT,1200.356,3
WT,5106.096,4
WT,487.809,5
WT,2515.094,6
