Treatments,mOD_min_mg_protein,Block
CT,7126.906,1
CT,12983.973,2
CT,3063.61,3
CT,3564.78,4
CT,4944.984,5
CT,2999.592,6
MU,4367.934,1
MU,11393.758,2
MU,14344.481,3
MU,72271.944,4
MU,8550.242,5
MU,9025.3,6
PT,4453.603,1
PT,9987.914,2
PT,6058.846,3
PT,5631.057,4
PT,3349.522,5
PT,6204.807,6
WT,6234.861,1
WT,12384.21,2
WT,10326.962,3
WT,10201.416,4
WT,16275.422,5
WT,4701.42,6
