Treatments,Inhibition_mg_protein,Block
CT,3350,1
CT,2390,2
CT,1540,3
CT,1720,4
CT,2810,5
CT,1170,6
MU,1610,1
MU,2720,2
MU,2690,3
MU,2140,5
MU,2910,6
PT,2090,1
PT,2930,2
PT,2820,3
PT,1930,4
PT,2840,5
PT,1640,6
WT,6030,1
WT,2510,2
WT,3430,3
WT,4820,4
WT,5590,5
WT,3450,6
