Treatments,Inhibition_mg_protein,Block
CT,3060,1
CT,2440,2
CT,3230,3
CT,3830,4
CT,2100,5
CT,3030,6
CT,1370,7
CT,3580,8
CT,1860,9
CT,2270,10
MU,4830,1
MU,6090,2
MU,4210,3
MU,6990,4
MU,4420,5
MU,4770,6
MU,5620,7
MU,8790,8
MU,4340,9
MU,7810,10
PT,2540,1
PT,3240,2
PT,2960,3
PT,7630,4
PT,3660,5
PT,3460,6
PT,4740,7
PT,5880,8
PT,4680,9
PT,1790,10
WT,6390,1
WT,3580,2
WT,8046.442,3
WT,2190,4
WT,6300,5
WT,13056.774,6
WT,22400,8
WT,6850,9
WT,6830,10
